0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
excel,customer-service,crm,hubspot,customer-success,,,,,,,,,,,,,,,,,,,,,,,,,,,,
customer-service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
customer-service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
customer-service,crm,customer-success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
net,sql,oracle,back-end,pl-sql,sql-server,,,,,,,,,,,,,,,,,,,,,,,,,,,
english,automatizacion,customer-success,administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
english,administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
excel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
excel,customer-service,english,customer-success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
customer-success,onboarding-specialist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
excel,sql,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
javascript,python,agile,front-end,angularjs,virtualization,react,amazon-web-services,docker,kubernetes,cloud-computing,back-end,ci-cd,cloud,angular,,,,,,,,,,,,,,,,,,
marketing,customer-service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
onboarding-specialist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
excel,sql,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
onboarding-specialist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
saas,customer-success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
english,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
customer-success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crm,ventas,saas,customer-success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
excel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
customer-service,crm,customer-success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ingeniero-comercial,english,security-engineer,cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
customer-service,crm,jira,hubspot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
excel,cms,crm,api,hubspot,customer-success,erp,,,,,,,,,,,,,,,,,,,,,,,,,,
windows-server,office-365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
go,customer-service,golang,api,english,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marketing,customer-service,branding,service-manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
customer-success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
customer-service,customer-success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sap,project-management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
project-management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agile,business-analyst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agile,saas,product-owner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agile,product-owner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product-manager,english,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product-manager,continual-improvement-process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agile,scrum,scrum-master,jira,confluence,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agile,scrum,english,jira,product-owner,gitlab,,,,,,,,,,,,,,,,,,,,,,,,,,,
agile,tech-lead,cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agile,product-owner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agile,excel,product-owner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agile,excel,project-management,scrum,saas,desarrollo-organizacional,,,,,,,,,,,,,,,,,,,,,,,,,,,
ux,analytics,diseno-web,sketch,product-manager,english,jira,educacion,,,,,,,,,,,,,,,,,,,,,,,,,
diseno-ui,usabilidad,product-owner,continual-improvement-process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agile,azure,cloud-computing,english,jira,cloud,business-analyst,,,,,,,,,,,,,,,,,,,,,,,,,,
agile,sql,oracle,scrum,pl-sql,sql-server,kanban-cbe618f9-934b-4c01-87ae-4d0c7093da2b,,,,,,,,,,,,,,,,,,,,,,,,,,
agile,scrum,scrum-master,kanban-cbe618f9-934b-4c01-87ae-4d0c7093da2b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analytics,agile,lean,big-data,scrum,tech-lead,cloud,,,,,,,,,,,,,,,,,,,,,,,,,,
sap,english,microsoft-sharepoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jira,product-owner,confluence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agile,project-management,scrum,scrum-master,jira,cloud,infrastructure-as-code,terraform,confluence,,,,,,,,,,,,,,,,,,,,,,,,
ux,unity,project-management,english,cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agile,devops,azure,cloud-computing,jira,ci-cd,cloud,functional-analyst,,,,,,,,,,,,,,,,,,,,,,,,,
agile,scrum,api,swagger,postman,jira,product-owner,user-testing,,,,,,,,,,,,,,,,,,,,,,,,,
agile,scrum,scrum-master,jira,confluence,kanban-cbe618f9-934b-4c01-87ae-4d0c7093da2b,,,,,,,,,,,,,,,,,,,,,,,,,,,
ux,agile,redes-sociales,product-manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,excel,sql,ingeniero-comercial,product-manager,english,back-end,,,,,,,,,,,,,,,,,,,,,,,,,,
project-management,ai,machine-learning,crm,machine-learning-engineer,erp,,,,,,,,,,,,,,,,,,,,,,,,,,,
data-analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agile,scrum,scrum-master,jira,kanban-cbe618f9-934b-4c01-87ae-4d0c7093da2b,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product-manager,product-owner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agile,excel,sql,devops,scrum,azure,cloud-computing,english,product-owner,ci-cd,cloud,,,,,,,,,,,,,,,,,,,,,,
agile,project-management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agile,devops,scrum,azure,design-thinking,cloud-computing,scrum-master,jira,ci-cd,cloud,,,,,,,,,,,,,,,,,,,,,,,
agile,go,golang,product-manager,jira,product-owner,educacion,,,,,,,,,,,,,,,,,,,,,,,,,,
agile,devops,scrum,azure,design-thinking,cloud-computing,scrum-master,jira,ci-cd,cloud,,,,,,,,,,,,,,,,,,,,,,,
agile,sql,project-management,english,jira,erp,sql-server,,,,,,,,,,,,,,,,,,,,,,,,,,
